scenario,baseline,metric,n,mean,std,t_ci_low,t_ci_high,boot_ci_low,boot_ci_high,unique_values
audio_stress_signal,B1,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
audio_stress_signal,B1,false_positive_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B1,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B1,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B1,end_to_end_latency_ms,30,325.533333,44.175772,309.039681,342.026986,312.333333,342.533333,20
audio_stress_signal,B2,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
audio_stress_signal,B2,false_positive_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,1
audio_stress_signal,B2,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B2,explanation_completeness_score,30,0.0,0.0,0.0,0.0,0.0,0.0,1
audio_stress_signal,B2,end_to_end_latency_ms,30,305.2,22.951824,296.630611,313.769389,297.033333,313.0,20
audio_stress_signal,B3,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
audio_stress_signal,B3,false_positive_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B3,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B3,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B3,end_to_end_latency_ms,30,350.2,22.951824,341.630611,358.769389,342.033333,358.0,20
audio_stress_signal,B4,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
audio_stress_signal,B4,false_positive_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B4,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B4,explanation_completeness_score,30,0.0,0.0,0.0,0.0,0.0,0.0,1
audio_stress_signal,B4,end_to_end_latency_ms,30,167.2,22.951824,158.630611,175.769389,159.033333,175.0,20
audio_stress_signal,B5,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
audio_stress_signal,B5,false_positive_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
audio_stress_signal,B5,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
