scenario,baseline_a,baseline_b,metric,n,mean_delta,std_delta,boot_ci_low,boot_ci_high,win_rate_a
audio_stress_signal,B5,B1,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0
crowd_acceleration,B5,B1,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0
evacuation_recommendation,B5,B1,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0
exit_blockage,B5,B1,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0
multimodal_conflict,B5,B1,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0
normal_flow,B5,B1,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0
audio_stress_signal,B5,B4,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0
crowd_acceleration,B5,B4,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0
evacuation_recommendation,B5,B4,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0
exit_blockage,B5,B4,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0
multimodal_conflict,B5,B4,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0
normal_flow,B5,B4,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0
