scenario,baseline,pearson_r_seed_latency,latency_cv_percent
audio_stress_signal,B1,0.1097,13.3422
audio_stress_signal,B2,0.8298,7.3939
audio_stress_signal,B3,0.8298,6.4438
audio_stress_signal,B4,0.8298,13.4964
audio_stress_signal,B5,0.8298,13.4964
crowd_acceleration,B1,0.1097,13.3422
crowd_acceleration,B2,0.8298,7.3939
crowd_acceleration,B3,0.8298,6.4438
crowd_acceleration,B4,0.8298,13.4964
crowd_acceleration,B5,0.8298,13.4964
evacuation_recommendation,B1,0.1097,13.3422
evacuation_recommendation,B2,0.8298,7.3939
evacuation_recommendation,B3,0.8298,6.4438
evacuation_recommendation,B4,0.8298,13.4964
evacuation_recommendation,B5,0.8298,13.4964
exit_blockage,B1,0.1097,13.3422
exit_blockage,B2,0.8298,7.3939
exit_blockage,B3,0.8298,6.4438
exit_blockage,B4,0.8298,13.4964
exit_blockage,B5,0.8298,13.4964
multimodal_conflict,B1,0.1097,13.3422
multimodal_conflict,B2,0.8298,7.3939
multimodal_conflict,B3,0.8298,6.4438
multimodal_conflict,B4,0.8298,13.4964
multimodal_conflict,B5,0.8298,13.4964
normal_flow,B1,0.1097,13.3422
normal_flow,B2,0.8298,7.3939
normal_flow,B3,0.8298,6.4438
normal_flow,B4,0.8298,13.4964
normal_flow,B5,0.8298,13.4964
