scenario,seed,channel,lambda,par,fpr,fnr,par_zero,delta_proc,coupling_proxy
normal_flow,1,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,2,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
normal_flow,3,zone_permutation,0.0,0.8333,0.0,0.1667,0.8333,0.0,1.0
normal_flow,4,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,5,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,6,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,7,zone_permutation,0.0,0.9167,0.0,0.0833,0.9167,0.0,1.0
normal_flow,8,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,9,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,10,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,11,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
normal_flow,12,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,13,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
normal_flow,14,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,15,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,16,zone_permutation,0.0,0.9167,0.0,0.0833,0.9167,0.0,1.0
normal_flow,17,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,18,zone_permutation,0.0,0.9167,0.0,0.0833,0.9167,0.0,1.0
normal_flow,19,zone_permutation,0.0,0.9167,0.0,0.0833,0.9167,0.0,1.0
normal_flow,20,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,21,zone_permutation,0.0,0.9167,0.0,0.0833,0.9167,0.0,1.0
normal_flow,22,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,23,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,24,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,25,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,26,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,27,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,28,zone_permutation,0.0,0.9722,0.0,0.0278,0.9722,0.0,1.0
normal_flow,29,zone_permutation,0.0,0.9444,0.0,0.0556,0.9444,0.0,1.0
normal_flow,30,zone_permutation,0.0,0.8333,0.0,0.1667,0.8333,0.0,1.0
exit_blockage,1,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
exit_blockage,2,zone_permutation,0.0,0.9048,0.05,0.05,0.9048,0.0,1.0
exit_blockage,3,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
